"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.035466083E0,-1.119390965E-1,5.108384871E-1,-1.226076338E-1,5.371396030E-1
2.045425083E0,1.538174397E-1,3.474988568E-1,1.036154388E-1,3.938926495E-1
2.055385083E0,8.254689753E-2,5.023459911E-1,2.289383733E-1,5.581919597E-1
2.065345083E0,3.013888836E-1,8.031706184E-1,1.941370614E-1,8.795496007E-1
2.075305083E0,3.102813292E-1,9.828760207E-1,2.317159469E-1,1.056414717E0
2.085265083E0,-1.788043463E-1,1.162601303E0,4.709625229E-2,1.177213168E0
2.095224083E0,-1.635442829E-1,1.174880456E0,8.140025854E-2,1.188998243E0
2.105184083E0,1.202696246E-1,9.684585410E-1,2.683779891E-1,1.012128190E0
2.115144083E0,1.095464158E-1,7.728305858E-1,6.049720810E-1,9.875518976E-1
2.125104083E0,6.825571775E-2,7.404826194E-1,7.398923430E-1,1.049006212E0
2.135063083E0,-7.897834182E-2,7.741976649E-1,2.794056916E-1,8.268537617E-1
2.145023083E0,-1.646903372E-1,6.961917150E-1,-2.429237437E-1,7.555248219E-1
2.154983083E0,2.850985408E-1,4.683216280E-1,2.013342530E-2,5.486453135E-1
2.164943083E0,5.188684684E-1,3.424913013E-1,4.022744036E-1,7.405062287E-1
2.174903083E0,6.501285195E-1,3.249531627E-1,4.207728012E-1,8.398281968E-1
2.184862083E0,8.570813620E-1,1.086950612E-1,4.608152649E-1,9.791597346E-1
2.194822083E0,8.890580302E-1,1.281633657E-1,3.951735449E-1,9.813318297E-1
2.204782083E0,8.751983750E-1,6.888897121E-2,3.822064671E-1,9.574965637E-1
2.214742083E0,8.150328648E-1,-5.732844114E-2,4.001787615E-1,9.097846789E-1
2.224702083E0,2.546515042E-1,1.379375714E-1,1.018985501E-1,3.070138054E-1
2.234661083E0,1.206251353E-1,3.621157265E-1,-2.301997639E-1,4.457243026E-1
2.244621083E0,3.499967873E-2,5.069933581E-1,-8.500214338E-2,5.152597472E-1
2.254581083E0,-2.460274458E-2,4.875385022E-1,1.320301294E-2,4.883373892E-1
2.264541083E0,-2.216679454E-1,8.286907911E-2,1.031849375E-1,2.581687309E-1
2.274501083E0,-2.896371496E-1,-2.594415432E-1,3.142505653E-1,4.999530084E-1
2.284460083E0,8.329709530E-2,-3.080868691E-1,3.701476081E-1,4.887383521E-1
2.294419958E0,3.242690384E-1,-2.432389086E-1,3.521044162E-1,5.369293211E-1
2.304379958E0,1.681109583E-1,-9.124170721E-2,1.762862429E-1,2.601214772E-1
2.314339958E0,1.559686303E-1,6.883459210E-2,3.414329553E-1,3.816292411E-1
2.324299958E0,1.825395477E-1,1.399045748E-1,5.142836666E-1,5.633663695E-1
2.334258958E0,8.933785379E-2,2.810417426E-1,6.518771294E-1,7.154785147E-1
2.344218958E0,-1.024139822E-2,3.523543847E-1,6.289282697E-1,7.209779935E-1
2.354178958E0,-2.270970851E-1,2.454509103E-1,4.058414975E-1,5.258579243E-1
2.364138958E0,-5.600778902E-1,1.264904773E-1,3.876826769E-1,6.928094557E-1
2.374097958E0,-3.602218133E-1,8.379937112E-2,5.129227272E-1,6.323541835E-1
2.384057958E0,-2.035866004E-1,-3.354313731E-2,3.974633145E-1,4.478277932E-1
2.394017958E0,-1.716111016E-1,-2.676106882E-1,4.371637161E-1,5.405348882E-1
2.403977958E0,-1.902438390E-1,-3.736861968E-1,4.805876246E-1,6.378076175E-1
2.413937958E0,-2.931700373E-1,-3.849438411E-1,4.879314351E-1,6.871735712E-1
2.423896958E0,-3.031670219E-1,-2.414344579E-1,3.015394494E-1,4.910467189E-1
2.433856958E0,-3.630811018E-1,1.305624783E-1,7.006396919E-2,3.921522753E-1
2.443816958E0,-5.868721712E-1,3.722980678E-1,5.593241841E-2,6.972468946E-1
2.453776958E0,-9.392446822E-1,3.605925268E-1,1.108857206E-1,1.012177448E0
2.463736958E0,-7.477144557E-1,1.971178257E-1,2.350851126E-1,8.082062575E-1
2.473695958E0,-7.367538500E-1,4.284547269E-2,2.122799483E-1,7.679223570E-1
2.483655958E0,-4.379207844E-1,1.573982745E-1,2.966130240E-1,5.518406620E-1
2.493615958E0,-2.029439914E-1,4.197324353E-1,4.486920865E-1,6.470596336E-1
2.503575958E0,-1.442923254E-1,4.479627925E-1,4.240912423E-1,6.335174192E-1
2.513535958E0,-2.384354210E-1,2.957369649E-1,5.600486541E-1,6.767320721E-1
2.523494958E0,-5.485349017E-1,8.257087111E-2,5.332054026E-1,7.694260774E-1
2.533454958E0,-4.394901770E-1,-2.102278680E-1,4.661460252E-1,6.742695967E-1
2.543414958E0,1.961740851E-1,1.876710641E-1,3.140353878E-1,4.151179649E-1
2.553374958E0,-5.497142851E-2,5.424122822E-1,4.151302381E-1,6.852489011E-1
2.563334958E0,-2.750927854E-1,5.490553039E-1,3.329382665E-1,6.985597016E-1
2.573293958E0,-1.272769278E-1,3.740545714E-1,1.832321504E-1,4.355344529E-1
2.583253958E0,-4.784829193E-1,2.694601625E-1,-6.331365108E-2,5.527778050E-1
2.593213958E0,-6.437702572E-1,1.596406817E-2,-2.572213554E-1,6.934391259E-1
2.603173958E0,-5.298405932E0,3.578098369E-1,1.271313468E0,5.460528475E0
2.613132958E0,-1.056800029E1,4.401099819E-1,-1.791416283E0,1.072779098E1
2.623092958E0,-3.641229002E0,1.224693471E-1,-1.964807131E0,4.139325361E0
2.633052958E0,6.188558561E-1,-7.423233229E-1,-1.586723682E0,1.857880117E0
2.643012958E0,1.215271853E0,-1.248298096E0,-3.909411840E-1,1.785488399E0
2.652972958E0,1.470549594E0,-1.637588757E0,8.007210736E-1,2.342086096E0
2.662931958E0,7.134152734E-1,-9.600215936E-1,1.227011454E0,1.713522664E0
2.672891958E0,4.496567309E-2,2.974338269E-1,1.224251568E0,1.260666766E0
2.682851958E0,2.002437472E-2,1.194842851E0,7.869489804E-1,1.430852582E0
2.692811958E0,3.002638793E-1,1.356207291E0,2.392401440E-1,1.409500784E0
2.702771958E0,9.705413193E-1,1.153366796E0,1.384408705E-1,1.513727615E0
2.712730958E0,2.048311803E0,8.471276468E-1,6.193603246E-1,2.301480763E0
2.722690958E0,2.376993150E0,6.252755141E-1,6.359102838E-1,2.538788647E0
2.732650958E0,1.885351657E0,4.246294785E-1,1.780420156E-1,1.940762742E0
2.742610958E0,1.968168111E0,4.493333799E-1,-2.288132429E-2,2.018937779E0
2.752570958E0,2.334427174E0,6.974389261E-1,-1.297754431E-1,2.439838715E0
2.762529958E0,1.914493010E0,6.044500709E-2,-1.849649727E-1,1.924356808E0
2.772489958E0,5.049152577E-1,-4.945955068E-1,-3.835353930E-1,8.041539221E-1
2.782449958E0,-7.688112098E-1,-2.521524042E-1,-9.812410661E-1,1.271804050E0
2.792409958E0,-1.094101757E0,-7.293699861E-2,-1.420050116E0,1.794135109E0
2.802369958E0,-9.432003236E-1,1.593068057E-1,-1.379360511E0,1.678583012E0
2.812328958E0,-2.246642341E0,4.341516691E-1,-9.234506949E-1,2.467519132E0
2.822288958E0,-4.792557458E0,1.291811906E0,8.154176847E-1,5.030138268E0
2.832248958E0,-5.013125542E0,-2.168556869E-2,2.204173721E0,5.476338171E0
2.842208958E0,-2.285933876E0,-2.472100452E0,6.952435890E-1,3.438042754E0
2.852167958E0,-6.414980292E-3,-1.800437806E0,-1.987538767E-1,1.811386361E0
2.862127958E0,6.256666929E-1,2.393031478E-2,4.051126420E-1,7.457531249E-1
2.872087958E0,8.943649632E-1,-2.642099476E-1,2.390998109E-1,9.627379204E-1
2.882047958E0,8.291503823E-1,4.930728918E-1,-1.386677425E-1,9.745973404E-1
2.892007958E0,7.247623801E-1,9.031574214E-1,-1.673613453E-1,1.170035750E0
2.901966958E0,1.026964611E0,1.838404362E0,-6.662620108E-1,2.208685577E0
2.911926958E0,8.472709036E-1,2.531422793E0,-8.092033370E-1,2.789404844E0
2.921886958E0,9.356708640E-1,2.277027982E0,-6.761251672E-1,2.552935886E0
2.931846958E0,1.487172058E0,1.908185034E0,-1.218115354E-1,2.422331295E0
2.941806958E0,1.920536107E0,1.737551002E0,3.714349457E-1,2.616391856E0
2.951765958E0,1.668086080E0,1.292902996E0,1.296480907E0,2.476887577E0
2.961725958E0,5.785340416E-1,7.012051177E-1,1.606247681E0,1.845649444E0
2.971685958E0,2.884940189E-1,-1.894568038E-1,-3.646436971E-2,3.470624291E-1
2.981645958E0,8.589086169E-1,-9.216966033E-2,-1.600534952E0,1.818771946E0
2.991605958E0,-1.306852698E-2,1.351801414E0,4.109317911E-1,1.412941183E0
3.001564958E0,-2.301106231E0,5.051310199E-1,4.471964564E0,5.054573602E0
3.011524958E0,-2.989614120E0,-1.124309058E0,3.992214553E0,5.112694053E0
3.021484958E0,-5.158477968E-1,-9.794653398E-1,3.520110362E0,3.690071579E0
3.031444958E0,9.337050301E-1,-3.624940413E-1,3.842111850E0,3.970520177E0
3.041404958E0,-4.951340353E-1,-5.424777710E-1,3.468930852E0,3.545831511E0
3.051363958E0,-3.171156133E0,-7.107998139E-1,1.679767063E0,3.658289898E0
3.061323958E0,-4.038190625E0,-1.237481917E0,-1.679761215E0,4.545320974E0
3.071283958E0,-2.804798836E0,-1.224129215E0,-3.949076135E0,4.996057562E0
3.081243958E0,-1.468105457E0,-7.243565834E-1,-4.162028221E0,4.472416014E0
3.091203958E0,-3.605188519E-1,-7.965229189E-1,-2.650707747E0,2.791177917E0
3.101162958E0,1.302970147E-1,-9.179485381E-1,-6.436742898E-1,1.128682162E0
